Date,Open,High,Low,Close,Adj Close,Volume
4/1/2005,24.059999,24.08,22.575001,23.049999,14.286203,2000800
5/1/2005,23.1,24.094999,22.995001,23.719999,14.701465,3141400
6/1/2005,23.5,25.045,23.450001,24.540001,15.20969,2482800
7/1/2005,24.775,26.49,24.254999,26.25,16.269533,1999200
8/1/2005,26.58,27.59,25.98,26.625,16.501961,3490600
9/1/2005,26.805,29.15,26.735001,28.815001,17.859303,3319800
10/1/2005,28.764999,28.99,25.620001,27.184999,16.849041,3639800
11/1/2005,27.389999,29.375,27.215,29.08,18.023556,2671000
12/1/2005,29.344999,31.105,29.344999,30.440001,18.866461,4204000
1/1/2006,31.139999,33.994999,30.965,33.98,21.433268,12897800
2/1/2006,33.994999,34.119999,32.200001,33.25,20.972807,6421200
3/1/2006,33.685001,34.125,31.26,33.639999,21.218807,6599200
4/1/2006,34.134998,36.540001,34,36.264999,22.87455,6609800
5/1/2006,36.525002,38.255001,31.125,32.169998,20.291588,10140400
6/1/2006,32.200001,33.605,27.75,32.139999,20.272661,12328000
7/1/2006,32,33.09,29.950001,32.735001,20.647974,6286200
8/1/2006,32.5,34.400002,31.92,33.220001,20.953886,4745600
9/1/2006,33.259998,34.099998,32.150002,33.57,21.17466,3971600
10/1/2006,33.715,35.540001,33.075001,35.275002,22.250105,9692400
11/1/2006,35.639999,37.950001,35.130001,37.860001,23.880623,7153800
12/1/2006,37.994999,39,37.334999,38.695,24.407305,9898400
1/1/2007,39.134998,39.549999,36.125,38.724998,24.857943,19278800
2/1/2007,38.959999,40.400002,36.02,37.825001,24.280222,18575400
3/1/2007,37.244999,40.43,35.025002,39.435001,25.313704,20044000
4/1/2007,39.509998,42.490002,39.375,40.935001,26.276552,13336200
5/1/2007,41.255001,43.875,40.799999,43.66,28.025761,15446600
6/1/2007,44.259998,46.375,42.544998,45.645,29.299955,13253400
7/1/2007,46.220001,50.32,45.759998,47.25,30.330219,23753000
8/1/2007,46.509998,48.200001,38.860001,47.244999,30.327007,27767000
9/1/2007,46.18,52.419998,45.700001,51.889999,33.30867,20483400
10/1/2007,52.465,58.924999,50.005001,58.639999,37.64156,35482800
11/1/2007,57.125,57.450001,48.75,53.639999,34.432014,36861200
12/1/2007,53.849998,56.529999,50,52.150002,33.475574,26865600
1/1/2008,52.125,53.305,42.775002,47.445,31.029327,54256400
2/1/2008,47.790001,51.150002,45.134998,48.810001,31.922054,34632600
3/1/2008,48.744999,49.314999,43.474998,47.014999,30.748104,39625200
4/1/2008,47.549999,51.525002,47.255001,50.98,33.341244,37314400
5/1/2008,50.924999,54.16,50.610001,51.889999,33.936386,40461400
6/1/2008,52.185001,52.235001,46.02,46.799999,30.607508,34712400
7/1/2008,45.639999,46.099998,42.75,44.59,29.16214,43210600
8/1/2008,44.950001,45.049999,40.240002,41.060001,26.853502,39342000
9/1/2008,40.68,42.990002,31,34.66,22.667862,79785500
10/1/2008,34.25,34.450001,19.309999,25.209999,16.487501,131177100
11/1/2008,25.33,27.450001,18.5,23.030001,15.061767,108339200
12/1/2008,22.25,26.4,20.85,23.57,15.414924,124281000
1/1/2009,24,25.879999,20.280001,21.469999,14.769805,74302300
2/1/2009,21.1,23.799999,20,20.959999,14.418962,93005900
3/1/2009,19.76,25.129999,19,23.559999,16.207577,98080300
4/1/2009,23.68,28.190001,23.59,27.67,19.034958,93623100
5/1/2009,27.75,32.650002,27.6,32.619999,22.440201,124231000
6/1/2009,33.580002,34.189999,29.860001,31.82,21.88986,124736100
7/1/2009,32.389999,35.580002,30.030001,35.290001,24.276976,149497400
8/1/2009,36.25,36.700001,33.91,35.040001,24.104979,126907400
9/1/2009,35.099998,39.119999,34.400002,38.529999,26.505861,149214300
10/1/2009,38.52,41.43,37.040001,37.599998,25.866079,223542300
11/1/2009,38.099998,41.98,37.400002,40.299999,27.723492,199305200
12/1/2009,41.07,42.169998,39.759998,41,28.205032,234999900
1/1/2010,41.759998,42.970001,38.07,38.240002,26.663389,229866500
2/1/2010,38.610001,39.73,36.240002,38.959999,27.165422,231675000
3/1/2010,39.450001,42.32,39.349998,42.150002,29.3897,269891900
4/1/2010,42.77,43.98,41.41,42.060001,29.326933,313140300
5/1/2010,42.25,42.439999,35.299999,38.200001,26.635509,454163100
6/1/2010,37.77,41.310001,36.849998,37.990002,26.489071,377085100
7/1/2010,38.139999,42.16,37.470001,41.869999,29.19446,290324400
8/1/2010,42.720001,45,40.060001,40.799999,28.448391,262762300
9/1/2010,41.549999,45.689999,41.5,45.459999,31.697643,250190700
10/1/2010,46,47.689999,45.77,46.869999,32.68079,339474900
11/1/2010,47.34,49.330002,45.200001,45.540001,31.75342,395256300
12/1/2010,46.68,48.330002,46.540001,48.150002,33.573296,328509700
1/1/2011,48.560001,48.880001,45.880001,46.490002,32.979553,334416800
2/1/2011,46.950001,47.720001,44.889999,46.41,32.922783,496233400
3/1/2011,46.689999,49.09,44.669998,48.950001,34.724659,527886500
4/1/2011,49.57,50.720001,48.02,50.599998,35.895145,339090700
5/1/2011,50.790001,50.919998,46.439999,49.110001,34.838154,462890700
6/1/2011,49.009998,49.169998,45.939999,48.619999,34.49054,385257600
7/1/2011,48.599998,49.650002,46.880001,48.32,34.277725,375110700
8/1/2011,48.84,48.869999,39.639999,43.93,31.163507,803138400
9/1/2011,44.040001,44.360001,35.68,35.830002,25.417444,749662400
10/1/2011,35.889999,43.93,34.209999,41.529999,29.460966,614132700
11/1/2011,40.029999,42.869999,37.009998,40.82,28.957312,414887000
12/1/2011,40.82,41.389999,37.34,38.209999,27.105806,439238500
1/1/2012,39.209999,42.939999,38.5,42.330002,30.744734,421936100
2/1/2012,42.990002,45.27,42.93,44.630001,32.415245,469366400
3/1/2012,44.810001,45.209999,42.34,43.470001,31.572714,413560800
4/1/2012,43.369999,44.16,41.509998,42.560001,30.911776,440605400
5/1/2012,42.619999,43.220001,37.130001,38.02,27.614338,534471300
6/1/2012,37.259998,40.259998,36.939999,39.93,29.001577,491721300
7/1/2012,39.860001,40.709999,37.990002,40.009998,29.059696,440896500
8/1/2012,40.439999,41.709999,39.34,40.110001,29.132322,409576900
9/1/2012,40.150002,43.689999,39.529999,41.720001,30.301687,404434400
10/1/2012,42.080002,42.700001,41.119999,41.490002,30.510204,339173800
11/1/2012,41.82,42.43,40.189999,42.02,30.899939,399768500
12/1/2012,42.330002,44.610001,42.009998,44.529999,32.745705,395201100
1/1/2013,45.130001,45.540001,44.099998,44.560001,33.105957,400849700
2/1/2013,44.810001,44.970001,42.98,43.509998,32.325851,367534500
3/1/2013,43.380001,44.470001,42.049999,42.900002,31.872648,339773900
4/1/2013,42.880001,43.880001,41.23,43.759998,32.556278,374194300
5/1/2013,43.700001,44.810001,41.52,41.540001,30.904654,330801400
6/1/2013,41.720001,42.259998,36.02,38.790001,28.858734,612818800
7/1/2013,39,40.529999,37.34,39.060001,29.453344,464318500
8/1/2013,39.5,40.290001,36.950001,37.720001,28.442915,381009400
9/1/2013,38.209999,43.009998,37.810001,40.130001,30.260189,431374200
10/1/2013,40.400002,43.16,40.389999,41.869999,31.835121,380249400
11/1/2013,41.919998,42.470001,39.75,41.48,31.538595,342896800
12/1/2013,41.380001,41.580002,39.799999,41.139999,31.280085,418941800
1/1/2014,40.509998,40.529999,37.189999,37.669998,28.796263,479553100
2/1/2014,37.5,39.369999,36.650002,38.889999,29.728874,389959300
3/1/2014,38.189999,40.799999,37.560001,40.580002,31.020769,378001100
4/1/2014,40.970001,41.93,40.119999,40.939999,31.380478,330416900
5/1/2014,40.849998,43.02,40.689999,42.209999,32.35392,250514400
6/1/2014,42.400002,43.889999,42.32,43.130001,33.059101,217955300
7/1/2014,43.360001,45.169998,43.360001,43.720001,33.837158,219487900
8/1/2014,43.849998,45.860001,43.169998,45.400002,35.13739,195048900
9/1/2014,45.43,46.490002,41.43,41.709999,32.281513,255884200
10/1/2014,41.57,42.73,40,42.639999,33.346855,330221200
11/1/2014,42.5,43.130001,41.529999,42.169998,32.979275,181159800
12/1/2014,41.709999,41.720001,37.299999,40.02,31.297859,365349700
1/1/2015,39.950001,42.040001,38.549999,39.939999,31.372906,274521100
2/1/2015,40.400002,42.040001,40.080002,41.799999,32.833935,218246000
3/1/2015,41.73,41.75,38.990002,40.869999,32.103424,259215300
4/1/2015,41.290001,45.080002,41.200001,43.900002,34.543301,233901400
5/1/2015,44.060001,44.43,42.330002,42.34,33.315792,189895800
6/1/2015,42.5,42.639999,40.32,40.880001,32.166985,261878200
7/1/2015,41.07,41.290001,37.419998,38.32,30.432167,295632600
8/1/2015,37.91,38.27,30.9,34.540001,27.430241,508323700
9/1/2015,33.59,36,31.889999,33.09,26.278715,509330300
10/1/2015,33.34,36.529999,32.93,34.84,28.048655,384202400
11/1/2015,35.130001,36.299999,33.59,34.040001,27.40461,328520500
12/1/2015,34.189999,34.299999,31.51,32.709999,26.33386,508047600
1/1/2016,31.84,31.969999,27.98,30.83,24.94183,501785900
2/1/2016,30.309999,31.459999,28.9,30.73,24.860931,424643900
3/1/2016,31.360001,34.93,31.33,34.580002,27.975628,359546900
4/1/2016,34.009998,35.830002,33.200001,34.93,28.307056,295328800
5/1/2016,34.919998,34.919998,32.25,33.799999,27.391312,329028200
6/1/2016,33.689999,35.52,32.779999,35.23,28.550175,443249700
7/1/2016,35.369999,37.099998,34.25,37.040001,30.216522,270499700
8/1/2016,37.080002,38.669998,36.41,37.330002,30.453106,335146300
9/1/2016,37.34,38.869999,36.130001,37.630001,30.69784,359301400
10/1/2016,37.700001,38.380001,36.75,37.75,31.167559,272804000
11/1/2016,37.889999,38.189999,34.779999,36.220001,29.904346,423508000
12/1/2016,36.119999,36.880001,34.709999,35.779999,29.541067,300376300
1/1/2017,36.18,38.150002,36.029999,37.84,31.392572,255173000
2/1/2017,38.09,39.779999,37.84,38.689999,32.09774,191015200
3/1/2017,39.029999,40.630001,38.119999,39.720001,32.952248,319743400
4/1/2017,39.93,40.529999,39.259998,40.34,33.52618,214099900
5/1/2017,40.48,41.360001,39.619999,40.740002,33.858616,263799200
6/1/2017,40.84,41.279999,40.290001,40.830002,33.933414,220740700
7/1/2017,41.009998,43.130001,40.43,43.009998,35.969723,211882500
8/1/2017,43.200001,44.41,42.220001,44.299999,37.048573,201334100
9/1/2017,44.5,45.27,42.91,43.57,36.438049,196701200
10/1/2017,43.529999,45.330002,43.529999,44.630001,37.762001,209274900
11/1/2017,44.919998,45.84,43.759998,44.48,37.635086,235621100
12/1/2017,44.25,46.139999,43.299999,45.91,38.845024,215391200
1/1/2018,46.529999,50.990002,46.450001,49.84,42.370613,291203900
2/1/2018,49.560001,49.75,44.34,47.169998,40.100769,401815100
3/1/2018,47.57,48.869999,45.82,46.98,39.939243,272595700
4/1/2018,46.740002,47.200001,45.02,45.68,38.909557,227508000
5/1/2018,45.389999,46.580002,43.959999,44.610001,37.998154,251209700
6/1/2018,44.830002,45.830002,41.029999,42.200001,35.945351,314880100
7/1/2018,41.57,44.139999,41.419998,43.880001,37.6185,254999100
8/1/2018,43.52,43.740002,40.330002,42.040001,36.041065,307643400
9/1/2018,41.240002,41.93,39.470001,41,35.149475,263316400
10/1/2018,41.23,41.240002,36.349998,37.860001,32.832977,482818700
11/1/2018,38.459999,40.139999,37.84,39.689999,34.419991,394637000
12/1/2018,40.689999,40.75,37.18,38.099998,33.041092,576795900
1/1/2019,37.77,41.82,37.52,41.779999,36.481983,387257100
2/1/2019,41.560001,42.59,40.509998,41.619999,36.34227,302227000
3/1/2019,41.880001,43.439999,40.91,42.5,37.110683,322974200
4/1/2019,43.060001,44.189999,42.860001,43.41,37.979698,216423400
5/1/2019,43.5,43.830002,39.57,40.639999,35.556217,341793500
6/1/2019,40.849998,42.82,40.400002,42.529999,37.209785,259737700
7/1/2019,43.349998,43.43,41.32,41.759998,36.787918,221167300
8/1/2019,41.799999,42.099998,38.98,40.400002,35.589855,291080600
9/1/2019,40,42.279999,39.950001,40.259998,35.466507,261023800
10/1/2019,40.259998,42.349998,39.610001,41.849998,37.332405,293190200
11/1/2019,42.310001,43.389999,41.82,42.060001,37.519737,216157300
12/1/2019,42.16,44.759998,41.549999,44.470001,39.669582,214744600
1/1/2020,45.07,45.919998,41.77,42.009998,37.949715,295588400
2/1/2020,42.060001,44.369999,39.220001,40.52,36.603722,320852200
3/1/2020,40.5,41.970001,29.959999,33.549999,30.307381,868647500
4/1/2020,32.700001,36.889999,32.259998,36.169998,32.735161,455164100
5/1/2020,35.310001,37.490002,34.84,37.360001,33.812153,307305200
6/1/2020,37.740002,40.720001,37.650002,39.610001,35.848492,295833000
7/1/2020,39.959999,43.849998,39.950001,43.009998,39.092552,240815900
8/1/2020,43.189999,45.169998,43.09,44.189999,40.16507,193604200
9/1/2020,44.700001,45.110001,41.529999,43.240002,39.301601,268419000
10/1/2020,43.560001,45.43,42.93,43.810001,40.207909,236493400
11/1/2020,44.259998,48.860001,44,47.560001,43.649582,205471400
12/1/2020,48.43,50.490002,48.18,50.110001,45.989914,213301000
1/1/2021,50.900002,54.560001,50.209999,51.68,47.717922,251807500
2/1/2021,52.75,56.66,52.23,52.490002,48.465824,171865100
3/1/2021,53.599998,54.040001,50.32,52.049999,48.059551,306738500
4/1/2021,52.799999,54.18,51.599998,52.98,48.981327,170662200
5/1/2021,52.919998,53.98,50.689999,53.880001,49.813396,157752800
6/1/2021,55.099998,55.16,53.009998,54.310001,50.210949,179212600
7/1/2021,54.310001,54.41,49.27,51.110001,47.50032,198987900
8/1/2021,51.560001,52.349998,48.900002,52.23,48.541218,214416000
9/1/2021,52.509998,53.450001,49.16,50.009998,46.478012,257480300
10/1/2021,50.099998,52.419998,49.049999,50.66,47.518963,194664000
11/1/2021,50.700001,52.209999,48.720001,49.189999,46.14011,226686700
12/1/2021,49.82,50.48,47.490002,49.459999,46.393372,377591300
1/1/2022,49.669998,51.259998,47.540001,49.669998,47.049698,369018900
2/1/2022,49.849998,50.990002,46.150002,47.82,45.297291,306250700
3/1/2022,47.509998,47.91,41.970001,46.130001,43.696449,518881200
4/1/2022,47.07,47.919998,42.240002,43.439999,41.267269,400359000
5/1/2022,43.23,44.169998,40.02,43.639999,41.457272,412431300
6/1/2022,43.860001,44.290001,40.939999,41.650002,39.566811,288086400
7/1/2022,41.220001,41.779999,39.57,41.32,39.54525,276561400
8/1/2022,41.029999,42.700001,40.59,41.130001,39.363411,229911900
9/1/2022,40.880001,41.66,36.209999,36.490002,34.922707,319784900
10/1/2022,36.779999,38.279999,34.880001,35.450001,34.385906,344915300
11/1/2022,36.299999,40.650002,35.57,40.52,39.303726,299450100
12/1/2022,40.619999,40.919998,38.529999,38.98,37.809952,322335300
1/1/2023,39.48,43.220001,39.290001,42.23,41.631493,237557100
2/1/2023,42.349998,42.790001,39.310001,39.419998,38.86132,222358100
3/1/2023,40.310001,40.830002,38.110001,40.400002,39.827427,233296600
4/1/2023,40.439999,40.950001,39.18,40.240002,39.698391,151965600
5/1/2023,40.080002,40.630001,38.73,39.049999,38.524406,291816500
6/1/2023,39.130001,42.150002,39.110001,40.68,40.132469,186753000
7/1/2023,41.099998,43.099998,39.959999,43.07,42.721531,149628100
8/1/2023,42.650002,42.700001,39.630001,40.529999,40.20208,202935200
9/1/2023,41.07,41.16,38.869999,39.209999,38.892757,185391300
10/1/2023,39.209999,39.77,37.459999,37.939999,37.939999,241695700
